CPM_ID	Chinese_herbal_formulas	Pinyin_term	Routes_of_administration
UHF0246	苏福非 阿那尔达乃 散	su fu fei   a na er da nai   san	Oral
UHF0247	苏福非 阿亚热吉 巴日德 苦散Ⅰ	su fu fei   a ya re ji   ba ri de   ku san Ⅰ	Oral
UHF0248	苏福非 阿亚热吉 巴日德 苦散Ⅱ	su fu fei   a ya re ji   ba ri de   ku san Ⅱ	Oral
UHF0249	苏福非 巴地洋 散	su fu fei   ba di yang   san	Oral
UHF0250	苏福非 白瓦斯尔 散	su fu fei   bai wa si er   san	Oral
UHF0251	苏福非 白祖日 散	su fu fei   bai zu ri   san	Oral
UHF0252	苏福非 白祖日 散Ⅰ	su fu fei   bai zu ri   san Ⅰ	Oral
UHF0253	苏福非 白祖日 散Ⅱ	su fu fei   bai zu ri   san Ⅱ	Oral
UHF0254	苏福非 白祖如力班吉 散	su fu fei   bai zu ru li ban ji   san	Oral
UHF0255	苏福非 地当 散Ⅰ	su fu fei   di dang   san Ⅰ	Oral
UHF0256	苏福非 地当 散Ⅱ	su fu fei   di dang   san Ⅱ	Oral
UHF0257	苏福非 福瓦克 散	su fu fei   fu wa ke   san	Oral
UHF0258	苏福非 卡库乐 散	su fu fei   ka ku le   san	Oral
UHF0259	苏福非 开合日巴 散	su fu fei   kai he ri ba   san	Oral
UHF0260	苏福非 开来 散	su fu fei   kai lai   san	Oral
UHF0261	苏福非 开然非里 散	su fu fei   kai ran fei li   san	Oral
UHF0262	苏福非 开热非谢 散	su fu fei   kai re fei xie   san	Oral
UHF0263	苏福非 开西尼孜 散	su fu fei   kai xi ni zi   san	Oral
UHF0264	苏福非 开西尼孜 散Ⅰ	su fu fei   kai xi ni zi   san Ⅰ	Oral
UHF0265	苏福非 开西尼孜 散Ⅱ	su fu fei   kai xi ni zi   san Ⅱ	Oral
UHF0266	苏福非 困都尔 散	su fu fei   kun dou er   san	Oral
UHF0267	苏福非 马尼 开止吐散	su fu fei   ma ni   kai zhi tu san	Oral
UHF0268	苏福非 买斯提克 散	su fu fei   mai si ti ke   san	Oral
UHF0269	苏福非 木地日 白吾力 散	su fu fei   mu di ri   bai wu li   san	Oral
UHF0270	苏福非 木地日 白吾力 散Ⅰ	su fu fei   mu di ri   bai wu li   san Ⅰ	Oral
UHF0271	苏福非 木地日 白吾力Ⅱ	su fu fei   mu di ri   bai wu li Ⅱ	Oral
UHF0272	苏福非 木地日 白吾力散Ⅲ	su fu fei   mu di ri   bai wu li san Ⅲ	Oral
UHF0273	苏福非 木克力亚萨 散	su fu fei   mu ke li ya sa   san	Oral
UHF0274	苏福非 那尼华 散	su fu fei   na ni hua   san	Oral
UHF0275	苏福非 乃福苏代米 散	su fu fei   nai fu su dai mi   san	Oral
UHF0276	苏福非 破斯提阿那尔 散	su fu fei   po si ti a na er   san	Oral
UHF0277	苏福非 赛地日 代瓦尔 散	su fu fei   sai di ri   dai wa er   san	Oral
UHF0278	苏福非 赛日堂 散	su fu fei   sai ri tang   san	Oral
UHF0279	苏福非 说热 散	su fu fei   shuo re   san	Oral
UHF0280	苏福非 苏仁江 散	su fu fei   su ren jiang   san	Oral
UHF0281	苏福非 塔巴西尔 散	su fu fei   ta ba xi er   san	Oral
UHF0282	苏福非 台皮 散	su fu fei   tai pi   san	Oral
UHF0283	苏福非 厅 散Ⅰ	su fu fei   ting   san Ⅰ	Oral
UHF0284	苏福非 厅 散Ⅱ	su fu fei   ting   san Ⅱ	Oral
UHF0285	苏福非 土如布德 散	su fu fei   tu ru bu de   san	Oral
UHF0286	苏福非 吐胡米 海提米 散	su fu fei   tu hu mi   hai ti mi   san	Oral
UHF0287	苏福非 外尔德 散	su fu fei   wai er de   san	Oral
UHF0288	苏福非 依斯哈力 开白地 散	su fu fei   yi si ha li   kai bai di   san	Oral
UHF0289	苏福非 再合热 散Ⅰ	su fu fei   zai he re   san Ⅰ	Oral
UHF0290	苏福非 再合热 散Ⅱ	su fu fei   zai he re   san Ⅱ	Oral
UHF0291	苏福非 孜亚比提 散Ⅰ	su fu fei   zi ya bi ti   san Ⅰ	Oral
UHF0292	苏福非 孜亚比提 散Ⅱ	su fu fei   zi ya bi ti   san Ⅱ	Oral
UHF0293	塔尔亚克 乃孜乐 解毒膏	ta er ya ke   nai zi le   jie du gao	Oral
UHF0294	谢日比提 阿那尔 木斯力 糖浆	xie ri bi ti   a na er   mu si li   tang jiang	Oral
UHF0295	谢日比提 阿那尔 普地乃 糖浆	xie ri bi ti   a na er   pu di nai   tang jiang	Oral
UHF0296	谢日比提 阿那尔 土如西 糖浆	xie ri bi ti   a na er   tu ru xi   tang jiang	Oral
UHF0297	谢日比提 艾比日西米 糖浆	xie ri bi ti   ai bi ri xi mi   tang jiang	Oral
UHF0298	谢日比提 艾非散厅 糖浆Ⅰ	xie ri bi ti   ai fei san ting   tang jiang Ⅰ	Oral
UHF0299	谢日比提 艾非散厅 糖浆Ⅱ	xie ri bi ti   ai fei san ting   tang jiang Ⅱ	Oral
UHF0300	谢日比提 艾非散厅 糖浆Ⅲ	xie ri bi ti   ai fei san ting   tang jiang Ⅲ	Oral
UHF0301	谢日比提 艾那罗 糖浆	xie ri bi ti   ai na luo   tang jiang	Oral
UHF0302	谢日比提 艾赛力 哈力斯 糖浆	xie ri bi ti   ai sai li   ha li si   tang jiang	Oral
UHF0303	谢日比提 艾赛力 木热开比 糖浆Ⅰ	xie ri bi ti   ai sai li   mu re kai bi   tang jiang Ⅰ	Oral
UHF0304	谢日比提 艾赛力 木热开比 糖浆Ⅱ	xie ri bi ti   ai sai li   mu re kai bi   tang jiang Ⅱ	Oral
UHF0305	谢日比提 艾赛力 糖浆	xie ri bi ti   ai sai li   tang jiang	Oral
UHF0306	谢日比提 安吉巴尔 糖浆	xie ri bi ti   an ji ba er   tang jiang	Oral
UHF0307	谢日比提 巴地然吉 糖浆	xie ri bi ti   ba di ran ji   tang jiang	Oral
UHF0308	谢日比提 巴地洋 糖浆	xie ri bi ti   ba di yang   tang jiang	Oral
UHF0309	谢日比提 白热斯 糖浆	xie ri bi ti   bai re si   tang jiang	Oral
UHF0310	谢日比提 白斯提法也吉 糖浆	xie ri bi ti   bai si ti fa ye ji   tang jiang	Oral
UHF0311	谢日比提 白祖日 巴日德 糖浆	xie ri bi ti   bai zu ri   ba ri de   tang jiang	Oral
UHF0312	谢日比提 白祖日 糖浆	xie ri bi ti   bai zu ri   tang jiang	Oral
UHF0313	谢日比提 比合苏斯 糖浆	xie ri bi ti   bi he su si   tang jiang	Oral
UHF0314	谢日比提 迪那尔 糖浆Ⅰ	xie ri bi ti   di na er   tang jiang Ⅰ	Oral
UHF0315	谢日比提 迪那尔 糖浆Ⅱ	xie ri bi ti   di na er   tang jiang Ⅱ	Oral
UHF0316	谢日比提 迪那尔 糖浆Ⅲ	xie ri bi ti   di na er   tang jiang Ⅲ	Oral
UHF0317	谢日比提 福地乃 糖浆	xie ri bi ti   fu di nai   tang jiang	Oral
UHF0318	谢日比提 海赛克 糖浆	xie ri bi ti   hai sai ke   tang jiang	Oral
UHF0319	谢日比提 胡麻尔 糖浆	xie ri bi ti   hu ma er   tang jiang	Oral
UHF0320	谢日比提 卡胡 糖浆	xie ri bi ti   ka hu   tang jiang	Oral
UHF0321	谢日比提 库树西 糖浆	xie ri bi ti   ku shu xi   tang jiang	Oral
UHF0322	谢日比提 力檬 糖浆	xie ri bi ti   li meng   tang jiang	Oral
UHF0323	谢日比提 蒙孜吉 马西热 糖浆	xie ri bi ti   meng zi ji   ma xi re   tang jiang	Oral
UHF0324	谢日比提 木来引 糖浆	xie ri bi ti   mu lai yin   tang jiang	Oral
UHF0325	谢日比提 那尼华 糖浆	xie ri bi ti   na ni hua   tang jiang	Oral
UHF0326	谢日比提 欧德 土如西 糖浆	xie ri bi ti   ou de   tu ru xi   tang jiang	Oral
UHF0327	谢日比提 欧里白 糖浆	xie ri bi ti   ou li bai   tang jiang	Oral
UHF0328	谢日比提 欧那比 木热开比 糖浆	xie ri bi ti   ou na bi   mu re kai bi   tang jiang	Oral
UHF0329	谢日比提 欧那比 糖浆	xie ri bi ti   ou na bi   tang jiang	Oral
UHF0330	谢日比提 欧那比 糖浆Ⅰ	xie ri bi ti   ou na bi   tang jiang Ⅰ	Oral
UHF0331	谢日比提 欧那比 糖浆Ⅱ	xie ri bi ti   ou na bi   tang jiang Ⅱ	Oral
UHF0332	谢日比提 欧那比 糖浆Ⅲ	xie ri bi ti   ou na bi   tang jiang Ⅲ	Oral
UHF0333	谢日比提 欧斯提胡都司 糖浆	xie ri bi ti   ou si ti hu dou si   tang jiang	Oral
UHF0334	谢日比提 欧斯提胡都斯 糖浆Ⅰ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅰ	Oral
UHF0335	谢日比提 欧斯提胡都斯 糖浆Ⅱ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅱ	Oral
UHF0336	谢日比提 欧斯提胡都斯 糖浆Ⅲ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅲ	Oral
UHF0337	谢日比提 欧斯提胡都斯 糖浆Ⅳ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅳ	Oral
UHF0338	谢日比提 欧斯提胡都斯 糖浆Ⅴ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅴ	Oral
UHF0339	谢日比提 欧斯提胡都斯 糖浆Ⅵ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅵ	Oral
UHF0340	谢日比提 欧斯提胡都斯 糖浆Ⅶ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅶ	Oral
UHF0341	谢日比提 欧斯提胡都斯 糖浆Ⅷ	xie ri bi ti   ou si ti hu dou si   tang jiang Ⅷ	Oral
UHF0342	谢日比提 排台尔阿萨里云 糖浆	xie ri bi ti   pai tai er a sa li yun   tang jiang	Oral
UHF0343	谢日比提 排瓦克 糖浆	xie ri bi ti   pai wa ke   tang jiang	Oral
UHF0344	谢日比提 热依汗 糖浆	xie ri bi ti   re yi han   tang jiang	Oral
UHF0345	谢日比提 如米巴地洋 糖浆	xie ri bi ti   ru mi ba di yang   tang jiang	Oral
UHF0346	谢日比提 赛日皮斯堂 糖浆	xie ri bi ti   sai ri pi si tang   tang jiang	Oral
UHF0347	谢日比提 斯依比 木热开比 糖浆	xie ri bi ti   si yi bi   mu re kai bi   tang jiang	Oral
UHF0348	谢日比提 苏阿力 糖浆	xie ri bi ti   su a li   tang jiang	Oral
UHF0349	谢日比提 苏扎皮 糖浆	xie ri bi ti   su zha pi   tang jiang	Oral
UHF0350	谢日比提 孙布力 糖浆	xie ri bi ti   sun bu li   tang jiang	Oral
UHF0351	谢日比提 台皮 木热开比 糖浆	xie ri bi ti   tai pi   mu re kai bi   tang jiang	Oral
UHF0352	谢日比提 台皮 赛非拉维 糖浆	xie ri bi ti   tai pi   sai fei la wei   tang jiang	Oral
UHF0353	谢日比提 外尔地 糖浆	xie ri bi ti   wai er di   tang jiang	Oral
UHF0354	谢日比提 伊加孜 糖浆	xie ri bi ti   yi jia zi   tang jiang	Oral
UHF0355	谢日比提 孜日克 糖浆	xie ri bi ti   zi ri ke   tang jiang	Oral
UHF0356	谢日比提 祖法 巴日德 糖浆	xie ri bi ti   zu fa   ba ri de   tang jiang	Oral
UHF0357	谢日比提 祖法 糖浆Ⅰ	xie ri bi ti   zu fa   tang jiang Ⅰ	Oral
UHF0358	谢日比提 祖法 糖浆Ⅱ	xie ri bi ti   zu fa   tang jiang Ⅱ	Oral
UHF0359	谢日比提 祖法 糖浆Ⅲ	xie ri bi ti   zu fa   tang jiang Ⅲ	Oral
UHF0360	伊提日非力 阿马尼 蜜膏	yi ti ri fei li   a ma ni   mi gao	Oral
UHF0361	伊提日非力 艾非提蒙 诃子膏	yi ti ri fei li   ai fei ti meng   he zi gao	Oral
UHF0362	伊提日非力 巴地洋 诃子膏	yi ti ri fei li   ba di yang   he zi gao	Oral
UHF0363	伊提日非力 胡代 诃子膏	yi ti ri fei li   hu dai   he zi gao	Oral
UHF0364	伊提日非力 开比日 诃子膏Ⅰ	yi ti ri fei li   kai bi ri   he zi gao Ⅰ	Oral
UHF0365	伊提日非力 开比日 诃子膏Ⅱ	yi ti ri fei li   kai bi ri   he zi gao Ⅱ	Oral
UHF0366	伊提日非力 开西尼孜 诃子膏	yi ti ri fei li   kai xi ni zi   he zi gao	Oral
UHF0367	伊提日非力 开西尼孜 木来印 诃子膏	yi ti ri fei li   kai xi ni zi   mu lai yin   he zi gao	Oral
UHF0368	伊提日非力 开西尼孜 木再帕尔 诃子膏	yi ti ri fei li   kai xi ni zi   mu zai pa er   he zi gao	Oral
UHF0369	伊提日非力 克西蜜西 诃子膏	yi ti ri fei li   ke xi mi xi   he zi gao	Oral
UHF0370	伊提日非力 木开力 诃子膏	yi ti ri fei li   mu kai li   he zi gao	Oral
UHF0371	伊提日非力 木来引 诃子膏	yi ti ri fei li   mu lai yin   he zi gao	Oral
UHF0372	伊提日非力 欧斯提胡都斯 诃膏Ⅱ	yi ti ri fei li   ou si ti hu dou si   he gao Ⅱ	Oral
UHF0373	伊提日非力 欧斯提胡都斯 诃子膏Ⅰ	yi ti ri fei li   ou si ti hu dou si   he zi gao Ⅰ	Oral
UHF0374	伊提日非力 萨那 诃子膏	yi ti ri fei li   sa na   he zi gao	Oral
UHF0375	伊提日非力 赛格日 诃子膏	yi ti ri fei li   sai ge ri   he zi gao	Oral
UHF0376	朱拉比 浸泡方Ⅰ	zhu la bi   jin pao fang Ⅰ	Oral
UHF0377	朱拉比 浸泡方Ⅱ	zhu la bi   jin pao fang Ⅱ	Oral
UHF0378	朱瓦日西 阿米勒 消食膏Ⅰ	zhu wa ri xi   a mi lei   xiao shi gao Ⅰ	Oral
UHF0379	朱瓦日西 阿米勒 消食膏Ⅱ	zhu wa ri xi   a mi lei   xiao shi gao Ⅱ	Oral
UHF0380	朱瓦日西 安拜日 消食膏	zhu wa ri xi   an bai ri   xiao shi gao	Oral
UHF0381	朱瓦日西 比也 消食膏	zhu wa ri xi   bi ye   xiao shi gao	Oral
UHF0382	朱瓦日西 达日其尼 消食膏	zhu wa ri xi   da ri qi ni   xiao shi gao	Oral
UHF0383	朱瓦日西 胡比苏力艾地德 消食膏	zhu wa ri xi   hu bi su li ai di de   xiao shi gao	Oral
UHF0384	朱瓦日西 胡孜 消食膏	zhu wa ri xi   hu zi   xiao shi gao	Oral
UHF0385	朱瓦日西 加力努斯 消食膏	zhu wa ri xi   jia li nu si   xiao shi gao	Oral
UHF0386	朱瓦日西 库木尼 蜜膏	zhu wa ri xi   ku mu ni   mi gao	Oral
UHF0387	朱瓦日西 困都尔 消食膏	zhu wa ri xi   kun dou er   xiao shi gao	Oral
UHF0388	朱瓦日西 买斯提克 消食膏	zhu wa ri xi   mai si ti ke   xiao shi gao	Oral
UHF0389	朱瓦日西 努西达日 消食膏	zhu wa ri xi   nu xi da ri   xiao shi gao	Oral
UHF0390	朱瓦日西 欧德 消食膏	zhu wa ri xi   ou de   xiao shi gao	Oral
UHF0391	朱瓦日西 排瓦克 消食膏	zhu wa ri xi   pai wa ke   xiao shi gao	Oral
UHF0392	朱瓦日西 赛排尔吉力 消食膏	zhu wa ri xi   sai pai er ji li   xiao shi gao	Oral
UHF0393	朱瓦日西 斯依比 消食膏	zhu wa ri xi   si yi bi   xiao shi gao	Oral
UHF0394	朱瓦日西 塔巴西尔 消食膏Ⅰ	zhu wa ri xi   ta ba xi er   xiao shi gao Ⅰ	Oral
UHF0395	朱瓦日西 塔巴西尔 消食膏Ⅱ	zhu wa ri xi   ta ba xi er   xiao shi gao Ⅱ	Oral
UHF0396	朱瓦日西 土润吉 消食膏	zhu wa ri xi   tu run ji   xiao shi gao	Oral
UHF0397	朱瓦日西 谢合日亚尼 消食膏	zhu wa ri xi   xie he ri ya ni   xiao shi gao	Oral
UHF0398	朱瓦日西 赞吉比力 消食膏	zhu wa ri xi   zan ji bi li   xiao shi gao	Oral
UHF0399	朱瓦日西 孜热 消食膏	zhu wa ri xi   zi re   xiao shi gao	Oral
UHF0400	阿比再尼 木帕斯里 洗脚剂	a bi zai ni   mu pa si li   xi jiao ji	Topical
UHF0401	艾土斯 打喷嚏方Ⅰ	ai tu si   da pen ti fang Ⅰ	Topical
UHF0402	艾土斯 打喷嚏方Ⅱ	ai tu si   da pen ti fang Ⅱ	Topical
UHF0403	波胡日 赛尔萨米 熏剂	bo hu ri   sai er sa mi   xun ji	Topical
UHF0404	波胡日 熏方	bo hu ri   xun fang	Topical
UHF0405	海日海日 漱口液	hai ri hai ri   shu kou ye	Topical
UHF0406	克如提 胡代 蜡膏	ke ru ti   hu dai   la gao	Topical
UHF0407	库合力 苏日买 粉	ku he li   su ri mai   fen	Topical
UHF0408	库合力 伊克斯仁 眼粉	ku he li   yi ke si ren   yan fen	Topical
UHF0409	库土日 眼滴液	ku tu ri   yan di ye	Topical
UHF0410	买日合米 白孜 软膏	mai ri he mi   bai zi   ruan gao	Topical
UHF0411	买日合米 大合力云 软膏Ⅰ	mai ri he mi   da he li yun   ruan gao Ⅰ	Topical
UHF0412	买日合米 大合力云 软膏Ⅱ	mai ri he mi   da he li yun   ruan gao Ⅱ	Topical
UHF0413	买日合米 合尔代力 软膏	mai ri he mi   he er dai li   ruan gao	Topical
UHF0414	买日合米 克比日提 软膏	mai ri he mi   ke bi ri ti   ruan gao	Topical
UHF0415	买日合米 克西日 节维孜 软膏	mai ri he mi   ke xi ri   jie wei zi   ruan gao	Topical
UHF0416	买日合米 欧卡比 软膏	mai ri he mi   ou ka bi   ruan gao	Topical
UHF0417	买日合米 如苏提 软膏	mai ri he mi   ru su ti   ruan gao	Topical
UHF0418	买日合米 说热 软膏	mai ri he mi   shuo re   ruan gao	Topical
UHF0419	买日合米 斯马比 软膏	mai ri he mi   si ma bi   ruan gao	Topical
UHF0420	买日合米 赞尕尔 软膏	mai ri he mi   zan ga er   ruan gao	Topical
UHF0421	买日合米 扎克 软膏	mai ri he mi   zha ke   ruan gao	Topical
UHF0422	买提布合 比乃非谢 汤	mai ti bu he   bi nai fei xie   tang	Topical
UHF0423	努土力 衣克力勒买力克 洗液	nu tu li   yi ke li lei mai li ke   xi ye	Topical
UHF0424	欧克乃衣 安左如提 灌阴液	ou ke nai yi   an zuo ru ti   guan yin ye	Topical
UHF0425	欧克乃衣 地当 灌肠液Ⅰ	ou ke nai yi   di dang   guan chang ye Ⅰ	Topical
UHF0426	欧克乃衣 地当 灌肠液Ⅱ	ou ke nai yi   di dang   guan chang ye Ⅱ	Topical
UHF0427	欧克乃衣 地当 灌肠液Ⅲ	ou ke nai yi   di dang   guan chang ye Ⅲ	Topical
UHF0428	欧克乃衣 米西米西卡拉比 灌阴液	ou ke nai yi   mi xi mi xi ka la bi   guan yin ye	Topical
UHF0429	欧克乃衣 木地日 艾衣孜 灌阴液Ⅰ	ou ke nai yi   mu di ri   ai yi zi   guan yin ye Ⅰ	Topical
UHF0430	欧克乃衣 木地日 艾衣孜 灌阴液Ⅱ	ou ke nai yi   mu di ri   ai yi zi   guan yin ye Ⅱ	Topical
UHF0431	欧克乃衣 破斯提 阿那尔 灌肠液	ou ke nai yi   po si ti   a na er   guan chang ye	Topical
UHF0432	欧克乃衣 赛尔萨米 灌肠液	ou ke nai yi   sai er sa mi   guan chang ye	Topical
UHF0433	欧克乃衣 西比提 灌阴液	ou ke nai yi   xi bi ti   guan yin ye	Topical
UHF0434	欧木力 木地日 艾衣孜 阴道栓	ou mu li   mu di ri   ai yi zi   yin dao shuan	Topical
UHF0435	帕舒也衣 赛尔萨米 浴液	pa shu ye yi   sai er sa mi   yu ye	Topical
UHF0436	帕舒也衣 苏达 洗剂	pa shu ye yi   su da   xi ji	Topical
UHF0437	排日孜节 射米 阴道栓	pai ri zi jie   she mi   yin dao shuan	Topical
UHF0438	排提勒衣 木斯力 木来引 栓剂	pai ti lei yi   mu si li   mu lai yin   shuan ji	Topical
UHF0439	热维改尼 波祖哈 油	re wei gai ni   bo zu ha   you	Topical
UHF0440	热维改尼 库斯台 油	re wei gai ni   ku si tai   you	Topical
UHF0441	热维改尼 罗补比 赛比艾 油	re wei gai ni   luo bu bi   sai bi ai   you	Topical
UHF0442	热维改尼 罗补比 油	re wei gai ni   luo bu bi   you	Topical
UHF0443	热维改尼 外尔地 油	re wei gai ni   wai er di   you	Topical
UHF0444	晒木米 赛尔萨米 鼻闻剂	shai mu mi   sai er sa mi   bi wen ji	Topical
UHF0445	苏福非 艾力勒 散	su fu fei   ai li lei   san	Topical
UHF0446	苏福非 木热开比 散	su fu fei   mu re kai bi   san	Topical
UHF0447	提拉衣 比乃非谢 液剂	ti la yi   bi nai fei xie   ye ji	Topical
UHF0448	提拉衣 塔巴西尔 黏剂	ti la yi   ta ba xi er   nian ji	Topical
UHF0449	西亚非 艾比也孜 点眼栓	xi ya fei   ai bi ye zi   dian yan shuan	Topical
UHF0450	西亚非 艾斯外德 点眼栓	xi ya fei   ai si wai de   dian yan shuan	Topical
UHF0451	西亚非 布热 艾日米尼 点耳栓	xi ya fei   bu re   ai ri mi ni   dian er shuan	Topical
UHF0452	西亚非 地当 栓剂Ⅰ	xi ya fei   di dang   shuan ji Ⅰ	Topical
UHF0453	西亚非 地当 栓剂Ⅱ	xi ya fei   di dang   shuan ji Ⅱ	Topical
UHF0454	西亚非 耳聋 点耳栓	xi ya fei   er long   dian er shuan	Topical
UHF0455	西亚非 合亚尔先白日 肛门栓	xi ya fei   he ya er xian bai ri   gang men shuan	Topical
UHF0456	西亚非 卡福尔 点眼栓	xi ya fei   ka fu er   dian yan shuan	Topical
UHF0457	西亚非 拿然吉 点眼栓	xi ya fei   na ran ji   dian yan shuan	Topical
UHF0458	西亚非 斯马克 点眼栓	xi ya fei   si ma ke   dian yan shuan	Topical
UHF0459	再如日 安左如提 眼粉	zai ru ri   an zuo ru ti   yan fen	Topical
UHF0460	再如日 买力卡亚 眼粉	zai ru ri   mai li ka ya   yan fen	Topical
UHF0461	再如日 且西哈米 眼粉	zai ru ri   qie xi ha mi   yan fen	Topical
UHF0462	再如日 西库鲁力 里桑 口吃撒粉	zai ru ri   xi ku lu li   li sang   kou chi sa fen	Topical
UHF0463	孜马地 白热斯 敷剂Ⅰ	zi ma di   bai re si   fu ji Ⅰ	Topical
UHF0464	孜马地 白热斯 敷剂Ⅱ	zi ma di   bai re si   fu ji Ⅱ	Topical
UHF0465	孜马地 白热斯 敷剂Ⅲ	zi ma di   bai re si   fu ji Ⅲ	Topical
UHF0466	孜马地 古尔代 敷剂	zi ma di   gu er dai   fu ji	Topical
UHF0467	孜马地 红眼 敷剂	zi ma di   hong yan   fu ji	Topical
UHF0468	孜马地 马西热 敷剂	zi ma di   ma xi re   fu ji	Topical
UHF0469	孜马地 买萨乃 敷剂	zi ma di   mai sa nai   fu ji	Topical
UHF0470	孜马地 热维改尼古丽 敷剂	zi ma di   re wei gai ni gu li   fu ji	Topical
UHF0471	孜马地 赛尔萨米 敷剂Ⅰ	zi ma di   sai er sa mi   fu ji Ⅰ	Topical
UHF0472	孜马地 赛尔萨米 敷剂Ⅱ	zi ma di   sai er sa mi   fu ji Ⅱ	Topical
UHF0473	孜马地 晒维赛 敷剂	zi ma di   shai wei sai   fu ji	Topical
UHF0474	孜马地 苏日买 敷剂	zi ma di   su ri mai   fu ji	Topical
UHF0475	孜马地 孙布力 敷剂	zi ma di   sun bu li   fu ji	Topical
UHF0476	孜马地 外热糜 胡斯也 敷剂Ⅰ	zi ma di   wai re mi   hu si ye   fu ji Ⅰ	Topical
UHF0477	孜马地 外热糜 胡斯也 敷剂Ⅱ	zi ma di   wai re mi   hu si ye   fu ji Ⅱ	Topical
UHF0478	孜马地 外热糜 日也 敷剂	zi ma di   wai re mi   ri ye   fu ji	Topical
UHF0479	孜马地 谢卡依克 敷剂	zi ma di   xie ka yi ke   fu ji	Topical
UHF0480	孜马地 衣斯白胡力 敷剂	zi ma di   yi si bai hu li   fu ji	Topical
